Side,Shoulder_Angle,Elbow_Angle,Hip_Angle,Knee_Angle,Ankle_Angle,Label
left,13.19999525,151.1712651,178.0261849,177.8850889,175.8959803,Jumping Jacks
left,26.79065482,140.2492663,177.2706,175.9689217,177.2998555,Jumping Jacks
left,37.31467494,128.5316379,174.9750835,176.0540377,175.1350278,Jumping Jacks
left,55.01822427,109.395923,171.1892875,178.0704053,173.1840271,Jumping Jacks
left,64.29909554,98.80824694,168.4885583,179.3920226,171.696379,Jumping Jacks
left,92.75058317,110.7932177,165.366347,179.7179897,169.4943229,Jumping Jacks
left,113.4337445,120.2599962,163.2513929,178.4455078,168.5248385,Jumping Jacks
left,136.407122,125.693591,160.7835342,176.6450496,167.5574938,Jumping Jacks
left,147.7602142,125.9787719,158.3778433,171.3153049,170.0279792,Jumping Jacks
left,149.1295657,126.3214734,158.019875,33.85622386,53.65354081,Jumping Jacks
left,141.985965,125.3973089,162.3365308,43.20793759,59.62381007,Jumping Jacks
left,117.1993605,111.597613,164.892326,175.3048187,170.6085165,Jumping Jacks
left,105.660787,114.9455434,166.8237389,179.0966988,166.9035276,Jumping Jacks
left,66.76736808,101.5655181,170.6767292,179.1240062,172.653067,Jumping Jacks
left,44.68327866,111.1729726,174.4523343,179.5567276,175.3904159,Jumping Jacks
left,29.6232252,146.6004184,177.7062636,178.143129,177.8259556,Jumping Jacks
left,25.82167855,121.1681658,175.3528017,178.9882966,177.1957521,Jumping Jacks
left,21.3349743,164.4755877,177.7295521,179.2252569,179.6518627,Jumping Jacks
left,14.97103188,170.8374287,178.2316137,179.7057797,177.9432491,Jumping Jacks
left,10.05607755,174.4564371,177.8798662,179.2643985,176.7130005,Jumping Jacks
left,8.42796793,176.5198335,177.8380232,179.4168889,176.3704484,Jumping Jacks
left,9.29573185,174.5762782,176.8168896,177.8460926,175.5299491,Jumping Jacks
left,10.4486107,170.7708128,177.369008,178.7129905,176.0021965,Jumping Jacks
left,12.70405953,158.8090633,176.421878,179.7295274,177.4302163,Jumping Jacks
left,17.06883199,153.4950646,176.5993154,178.463958,179.4617354,Jumping Jacks
left,29.35340954,142.0310708,174.9586688,178.2937657,178.2793282,Jumping Jacks
left,38.13040541,122.1288985,172.6771931,177.6314743,175.0689096,Jumping Jacks
left,58.32984105,100.6558317,168.8131671,178.8001527,172.349063,Jumping Jacks
left,77.84245537,102.4900141,166.1745654,179.5622964,170.2735826,Jumping Jacks
left,93.51742159,105.2766733,163.6299014,179.4218975,167.2811555,Jumping Jacks
left,114.705867,114.3622031,161.6488919,179.9578385,165.4799168,Jumping Jacks
left,133.0898268,113.3527661,158.6599455,179.7922419,161.5692135,Jumping Jacks
left,144.9313346,116.2218741,156.4926938,179.7315592,159.5572825,Jumping Jacks
left,151.9557392,120.3918444,154.6648731,178.4900489,158.6957404,Jumping Jacks
left,151.2729874,124.2670562,156.5855419,179.722224,158.5838279,Jumping Jacks
left,137.3904227,117.9505868,158.4563818,179.3288093,161.0750213,Jumping Jacks
left,134.3024415,131.9821513,157.8790782,175.6922668,164.255156,Jumping Jacks
left,100.7717659,120.5906256,160.1272866,175.81296,166.778454,Jumping Jacks
left,76.26393182,123.4585238,164.4515568,175.9572807,171.1783214,Jumping Jacks
left,50.22134965,150.280472,170.677683,178.8664489,174.6926332,Jumping Jacks
left,37.31573075,162.9226445,173.9318922,179.9696337,176.9113136,Jumping Jacks
left,25.55274301,166.6265157,176.5243224,179.77303,179.927823,Jumping Jacks
left,16.61520198,169.4822698,177.2121193,179.4282223,179.397135,Jumping Jacks
left,10.56604369,173.9053508,176.4144346,178.5520685,177.517337,Jumping Jacks
left,8.43958537,176.9020736,176.4333514,177.9525232,176.7630385,Jumping Jacks
left,8.427479692,175.6783149,176.0903551,176.6674988,175.7218023,Jumping Jacks
left,10.32798552,172.9911525,176.3448367,177.8752588,176.8127286,Jumping Jacks
left,11.33663841,158.8381588,176.0841071,179.2197144,178.3342492,Jumping Jacks
